,Institution,Title,AdjSalary,PostdocNum,Senior,Fellow,Faculty,Scholar,Assistant,Clinical,Researcher,Teaching,Intern,Trainee,Associate,NIH_grants,NIH_order,NSF,NSF_order,State
0,ALBANY,Postdoctoral Associate,35000,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
1,ALBANY,Postdoctoral Associate,35901.32,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
2,ALBANY,Postdoctoral Associate,36000,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
3,ALBANY,Postdoctoral Associate,36000,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
4,ALBANY,Postdoctoral Associate,36000,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
5,ALBANY,Postdoctoral Associate,36000,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
6,ALBANY,Postdoctoral Associate,36000,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
7,ALBANY,Postdoctoral Associate,36000,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
8,ALBANY,Postdoctoral Associate,36000,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
9,ALBANY,Postdoctoral Associate,39890.24,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
10,ALBANY,Postdoctoral Associate,40000,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
11,ALBANY,Postdoctoral Associate,40000,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
12,ALBANY,Postdoctoral Associate,41735.98,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
13,ALBANY,Postdoctoral Associate,45833,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
14,ALBANY,Postdoctoral Associate,45833,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
15,ALBANY,Postdoctoral Associate,46887,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
16,ALBANY,Postdoctoral Associate,47442.46,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
17,ALBANY,Postdoctoral Associate,55000,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
18,ALBANY,Postdoctoral Associate,56600,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
19,ALBANY,Postdoctoral Associate,56863.07,20,0,0,0,0,0,0,0,0,0,0,1,7350426,41,120232,30,NY
20,BINGHAMTON,Postdoctoral Associate,47476,1,0,0,0,0,0,0,0,0,0,0,1,6594927,42,85192,34,NY
21,Boston University,Postdoctoral Associate,47475.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
22,Boston University,Postdoctoral Associate,47499.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
23,Boston University,Postdoctoral Associate,47499.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
24,Boston University,Postdoctoral Associate,47499.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
25,Boston University,Postdoctoral Associate,47499.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
