,Unnamed: 0,Institution,Title,Department,STEM,NON-STEM,Ethnea,Genni,AdjSalary,PostdocNum,Associate,Intern,Fellow,Clinical,Trainee,Researcher,Scholar,Senior,Faculty,Assistant,Teaching,NIH_grants,NIH_order,State
0,0,ALBANY,Postdoctoral Associate,,,,False,False,35000,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
1,1,ALBANY,Postdoctoral Associate,,,,False,False,35901.32,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
2,2,ALBANY,Postdoctoral Associate,,,,False,False,36000,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
3,3,ALBANY,Postdoctoral Associate,,,,False,False,36000,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
4,4,ALBANY,Postdoctoral Associate,,,,False,False,36000,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
5,5,ALBANY,Postdoctoral Associate,,,,False,False,36000,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
6,6,ALBANY,Postdoctoral Associate,,,,False,False,36000,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
7,7,ALBANY,Postdoctoral Associate,,,,False,False,36000,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
8,8,ALBANY,Postdoctoral Associate,,,,False,False,36000,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
9,9,ALBANY,Postdoctoral Associate,,,,False,False,39890.24,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
10,10,ALBANY,Postdoctoral Associate,,,,False,False,40000,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
11,11,ALBANY,Postdoctoral Associate,,,,False,False,40000,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
12,12,ALBANY,Postdoctoral Associate,,,,False,False,41735.98,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
13,13,ALBANY,Postdoctoral Associate,,,,False,False,45833,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
14,14,ALBANY,Postdoctoral Associate,,,,False,False,45833,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
15,15,ALBANY,Postdoctoral Associate,,,,False,False,46887,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
16,16,ALBANY,Postdoctoral Associate,,,,False,False,47442.46,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
17,17,ALBANY,Postdoctoral Associate,,,,False,False,55000,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
18,18,ALBANY,Postdoctoral Associate,,,,False,False,56600,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
19,19,ALBANY,Postdoctoral Associate,,,,False,False,56863.07,20,1,0,0,0,0,0,0,0,0,0,0,,,NY
20,20,BINGHAMTON,Postdoctoral Associate,,,,False,False,47476,1,1,0,0,0,0,0,0,0,0,0,0,6560455,35,NY
21,21,Boston University,Postdoctoral Associate,,,,False,False,47475.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
22,22,Boston University,Postdoctoral Associate,,,,False,False,47499.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
23,23,Boston University,Postdoctoral Associate,,,,False,False,47499.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
24,24,Boston University,Postdoctoral Associate,,,,False,False,47499.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
25,25,Boston University,Postdoctoral Associate,,,,False,False,47499.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
26,26,Boston University,Postdoctoral Associate,,,,False,False,47499.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
27,27,Boston University,Postdoctoral Associate,,,,False,False,47499.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
28,28,Boston University,Postdoctoral Associate,,,,False,False,47499.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
29,29,Boston University,Postdoctoral Associate,,,,False,False,47499.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
30,30,Boston University,Postdoctoral Associate,,,,False,False,47499.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
31,31,Boston University,Postdoctoral Associate,,,,False,False,47499.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
32,32,Boston University,Postdoctoral Associate,,,,False,False,47499.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
