University_FoiA,State,2017_NIH,NIH_top,NSF R&D 16,NSF_RD_top
  ALBANY,NY,7350426,40,120232,30
  BINGHAMTON,NY,6594927,41,85192,34
  Boston University,MA,172328687,5,395921,18
  Bothell,WA,,,,
  BUFFALO,NY,60031673,22,389569,20
  DULUTH,MN,753217,44,27528,37
  Florida State University,FL,35790197,29,268288,24
  Iowa State University,IA,14372729,35,328385,23
  Michigan State University,MI,58498845,25,613369,8
  North Carolina State,NC,23340270,31,489918,12
  Purdue University,IN,44760764,27,,
  Rutgers University,NJ,,,,
  Seattle,WA,,,2050,40
  STONY BROOK,NY,64163204,19,230621,26
  Texas A&M University,TX,12938393,37,,
  The Ohio State University-Main Campus,OH,170811121,6,818464,4
  TWIN CITIES,MN,,,910181,3
  UM_ANN-ARBOR,MI,521788658,1,1436448,1
  UM_DEARBORN,MI,,,7904,39
  University of Arizona,AZ,96151324,15,604464,9
  University of California Santa Barbara,CA,15591184,34,230139,27
  University of Cincinnati,OH,62109922,20,430579,16
  University of Colorado Boulder,CO,42178364,28,453123,14
  University of Colorado Denver,CO,216158884,3,,
  University of Florida,FL,161032753,9,791294,5
  University of Indiana Bloomington,IN,35400337.00,30,508766,11
  University of Indiana Indianapolis,IN,,,,
  University of Indiana Northwest,IN,,,,
  University of Iowa,IA,151818373,11,473362,13
  University of Maryland Baltimore,MD,168627327,8,393876,19
  University of Maryland Baltimore County,MD,8909991.00,38,70166,35
  University of Maryland College Park,MD,46844045,26,539388,10
  University of Massachusetts Medical School,MA,152964364,10,253099,25
  University of North Carolina Chapel Hill,NC,419977336,2,1045338,2
  University of South Florida,FL,112931906,15,,
  University of Texas Arlington,TX,5359802,42,87386,33
  University of Texas at El Paso,TX,13421652,36,91330,32
  University of Texas Austin,TX,90049589,17,621692,7
  University of Texas Dallas,TX,16802808,32,106205,31
  University of Texas Health Sciences Center at Houston,TX,92182217,16,,
  University of Texas Health Sciences Center at San Antonio,TX,61464020,21,194885,29
  University of Texas Health Sciences Center at Tyler,TX,4631602,43,11799,38
  University of Texas MD Anderson Cancer Center,TX,147621223,12,,
  University of Texas Medical Branch at Galveston,TX,80775431,18,,
  University of Texas Southwestern,TX,177958152,4,442666,15
  University of Utah,UT,170579644,7,350212,21
  University of Virginia,VA,139400908,13,397458,17
  UPSTATE,NY,15785296,33,,
  Wayne State University  ,MI,59217562,23,221537,28
San Antonio,TX,8602632.00,39,59831,36
University of Illinois Chicago,IL,119262646.00,14,337296,22
University of Illinois Urbana-Champaign,IL,59119349,24,625180,6
